[어긋남] step 1864 phase=carry_rotate  원점기준 0.21 cm | 형상중심기준 0.01 cm | 쥔점기준 0.02 cm | 손기준 회전 0.2°  (최대 0.44 / 0.12 / 0.12 cm / 0.2°)
[어긋남] step 1894 phase=carry_rotate  원점기준 0.19 cm | 형상중심기준 0.01 cm | 쥔점기준 0.02 cm | 손기준 회전 0.2°  (최대 0.44 / 0.12 / 0.12 cm / 0.2°)
[어긋남] step 1924 phase=carry_rotate  원점기준 0.17 cm | 형상중심기준 0.01 cm | 쥔점기준 0.02 cm | 손기준 회전 0.2°  (최대 0.44 / 0.12 / 0.12 cm / 0.2°)
[어긋남] step 1954 phase=carry_rotate  원점기준 0.15 cm | 형상중심기준 0.02 cm | 쥔점기준 0.02 cm | 손기준 회전 0.2°  (최대 0.44 / 0.12 / 0.12 cm / 0.2°)
[어긋남] step 1984 phase=carry_rotate  원점기준 0.13 cm | 형상중심기준 0.02 cm | 쥔점기준 0.02 cm | 손기준 회전 0.2°  (최대 0.44 / 0.12 / 0.12 cm / 0.2°)
[어긋남] step 2014 phase=carry_rotate  원점기준 0.11 cm | 형상중심기준 0.03 cm | 쥔점기준 0.02 cm | 손기준 회전 0.2°  (최대 0.44 / 0.12 / 0.12 cm / 0.2°)
[어긋남] step 2044 phase=carry_rotate  원점기준 0.09 cm | 형상중심기준 0.03 cm | 쥔점기준 0.02 cm | 손기준 회전 0.2°  (최대 0.44 / 0.12 / 0.12 cm / 0.2°)
[어긋남] step 2074 phase=carry_rotate  원점기준 0.07 cm | 형상중심기준 0.04 cm | 쥔점기준 0.03 cm | 손기준 회전 0.2°  (최대 0.44 / 0.12 / 0.12 cm / 0.2°)
[어긋남] step 2104 phase=carry_rotate  원점기준 0.05 cm | 형상중심기준 0.04 cm | 쥔점기준 0.03 cm | 손기준 회전 0.2°  (최대 0.44 / 0.12 / 0.12 cm / 0.2°)
[어긋남] step 2134 phase=carry_rotate  원점기준 0.06 cm | 형상중심기준 0.04 cm | 쥔점기준 0.03 cm | 손기준 회전 0.2°  (최대 0.44 / 0.12 / 0.12 cm / 0.2°)
[어긋남] step 2164 phase=carry_rotate  원점기준 0.16 cm | 형상중심기준 0.12 cm | 쥔점기준 0.12 cm | 손기준 회전 0.0°  (최대 0.44 / 0.12 / 0.12 cm / 0.2°)
[어긋남] step 2194 phase=carry_rotate  원점기준 0.14 cm | 형상중심기준 0.12 cm | 쥔점기준 0.12 cm | 손기준 회전 0.0°  (최대 0.44 / 0.13 / 0.13 cm / 0.2°)
