[INFO] [1789702444.703275693] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702444.796487750] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702444.934127962] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702444.945477413] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702444.978205125] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702445.081457374] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702445.122935659] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702445.230016192] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702445.352555019] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702445.397206185] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702445.500572137] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702445.541179419] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702445.656068923] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702445.656890261] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702445.709544066] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702445.814158005] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702445.846719972] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702445.972193469] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702446.026433746] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702446.129602282] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702446.159697439] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702446.262172003] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702446.265166957] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702446.401820056] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702446.533905713] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702446.540665509] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702446.541282556] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
